block_date,token_standard,token_id,sell_volume,buy_volume,gross_volume,net_buy_pressure,total_supply,gross_daily_turnover_rate,data_source,primary_secondary_treatment,sample_window
2025-04-19,erc1155,11,609,609,1218,0,692451,0.00175897,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-20,erc1155,11,71,71,142,0,692451,0.00020507,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-21,erc1155,11,291,291,582,0,692451,0.00084049,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-22,erc1155,11,194,194,388,0,692451,0.00056033,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-23,erc1155,11,592,592,1184,0,692451,0.00170987,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-24,erc1155,11,243,243,486,0,692451,0.00070185,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-02,erc1155,11,333,333,666,0,692451,0.00096180,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-03,erc1155,11,1596,1593,3189,-3,692451,0.00460538,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-04,erc1155,11,21212,21215,42427,3,692451,0.06127076,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-05,erc1155,11,6326,6326,12652,0,692451,0.01827133,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-06,erc1155,11,5443,5443,10886,0,692451,0.01572097,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-07,erc1155,11,1454,1454,2908,0,692451,0.00419958,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-08,erc1155,11,652,652,1304,0,692451,0.00188317,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-09,erc1155,11,2349,2349,4698,0,692451,0.00678460,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-10,erc1155,11,74,74,148,0,692451,0.00021373,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-11,erc1155,11,72,72,144,0,692451,0.00020796,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-12,erc1155,11,994,994,1988,0,692451,0.00287096,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-13,erc1155,11,77,77,154,0,692451,0.00022240,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-14,erc1155,11,140,140,280,0,692451,0.00040436,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-15,erc1155,11,779,779,1558,0,692451,0.00224998,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-16,erc1155,11,1989,1989,3978,0,692451,0.00574481,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-17,erc1155,11,306,306,612,0,692451,0.00088382,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-18,erc1155,11,2136,2136,4272,0,692451,0.00616939,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-19,erc1155,11,250,249,499,-1,692451,0.00072063,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-22,erc1155,11,7393,7394,14787,1,692451,0.02135458,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-23,erc1155,11,5,5,10,0,692451,0.00001444,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-24,erc1155,11,69,69,138,0,692451,0.00019929,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-25,erc1155,11,233,233,466,0,692451,0.00067297,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-26,erc1155,11,1538,1538,3076,0,692451,0.00444219,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-27,erc1155,11,180,180,360,0,692451,0.00051989,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-28,erc1155,11,1784,1784,3568,0,692451,0.00515271,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-29,erc1155,11,5921,5921,11842,0,692451,0.01710157,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-30,erc1155,11,68,68,136,0,692451,0.00019640,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-05-31,erc1155,11,456,456,912,0,692451,0.00131706,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-01,erc1155,11,4362,4362,8724,0,692451,0.01259873,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-02,erc1155,11,1044,1044,2088,0,692451,0.00301538,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-03,erc1155,11,169,169,338,0,692451,0.00048812,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-04,erc1155,11,1354,1354,2708,0,692451,0.00391075,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-05,erc1155,11,2715,2715,5430,0,692451,0.00784171,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-06,erc1155,11,387,387,774,0,692451,0.00111777,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-07,erc1155,11,270,270,540,0,692451,0.00077984,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-08,erc1155,11,1332,1332,2664,0,692451,0.00384720,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-09,erc1155,11,32,32,64,0,692451,0.00009243,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-10,erc1155,11,713,713,1426,0,692451,0.00205935,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-11,erc1155,11,413,413,826,0,692451,0.00119286,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-12,erc1155,11,3221,3221,6442,0,692451,0.00930319,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-13,erc1155,11,732,732,1464,0,692451,0.00211423,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-14,erc1155,11,400,400,800,0,692451,0.00115532,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-15,erc1155,11,575,575,1150,0,692451,0.00166077,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-16,erc1155,11,698,698,1396,0,692451,0.00201603,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-17,erc1155,11,871,871,1742,0,692451,0.00251570,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-06-18,erc1155,11,897,897,1794,0,692451,0.00259080,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
