period,token_standard,token_id,total_sell,total_buy,total_volume,total_supply,turnover_rate,turnover_rate_percent,adjusted_turnover_rate,adjusted_turnover_rate_percent
2024-12-26,erc1155,12,9243,9243,18486,444140,0.04162201,4.1622,-0.95837799,-95.8378
2024-12-26,erc1155,13,5059,5060,10119,648943,0.01559305,1.5593,-0.98440695,-98.4407
2024-12-26,erc1155,14,1033,971,2004,31500,0.06361905,6.3619,-0.93638095,-93.6381
2024-12-26,erc1155,16,4778,4794,9572,626260,0.01528439,1.5284,-0.98471561,-98.4716
2024-12-26,erc1155,17,9741,8949,18690,522584,0.03576459,3.5765,-0.96423541,-96.4235
2024-12-26,erc1155,18,16814,15891,32705,706912,0.04626460,4.6265,-0.95373540,-95.3735
2024-12-26,erc1155,19,1174,1174,2348,445200,0.00527403,0.5274,-0.99472597,-99.4726
2024-12-26,erc1155,20,12331,12331,24662,619080,0.03983653,3.9837,-0.96016347,-96.0163
2024-12-26,erc1155,22,6516,6382,12898,641539,0.02010478,2.0105,-0.97989522,-97.9895
2024-12-26,erc1155,23,36654,35316,71970,741286,0.09708803,9.7088,-0.90291197,-90.2912
2024-12-26,erc1155,25,17377,218113,235490,1213275,0.19409450,19.4094,-0.80590550,-80.5906
2024-12-26,erc1155,3,2012,2012,4024,165356,0.02433537,2.4335,-0.97566463,-97.5665
2024-12-26,erc1155,4,3558,3558,7116,238409,0.02984787,2.9848,-0.97015213,-97.0152
2024-12-26,erc1155,5,281,281,562,38010,0.01478558,1.4786,-0.98521442,-98.5214
2024-12-26,erc1155,6,554,554,1108,445200,0.00248877,0.2489,-0.99751123,-99.7511
2024-12-26,erc1155,7,161,160,321,33663,0.00953569,0.9536,-0.99046431,-99.0464
2024-12-26,erc1155,8,50,50,100,26775,0.00373483,0.3735,-0.99626517,-99.6265
2024-12-26,erc1155,9,6919,6909,13828,308553,0.04481564,4.4816,-0.95518436,-95.5184
2024-12-27,erc1155,10,198,225,423,33075,0.01278912,1.2789,-0.98721088,-98.7211
2024-12-27,erc1155,11,1058,1058,2116,692451,0.00305581,0.3056,-0.99694419,-99.6944
2024-12-27,erc1155,12,2172,2172,4344,444140,0.00978070,0.9781,-0.99021930,-99.0219
2024-12-27,erc1155,13,1996,1996,3992,648943,0.00615154,0.6152,-0.99384846,-99.3848
2024-12-27,erc1155,14,575,637,1212,31500,0.03847619,3.8476,-0.96152381,-96.1524
2024-12-27,erc1155,16,2481,2481,4962,626260,0.00792323,0.7923,-0.99207677,-99.2077
2024-12-27,erc1155,17,1727,2554,4281,522584,0.00819198,0.8192,-0.99180802,-99.1808
2024-12-27,erc1155,18,11145,5233,16378,706912,0.02316837,2.3168,-0.97683163,-97.6832
2024-12-27,erc1155,19,1446,1446,2892,445200,0.00649596,0.6496,-0.99350404,-99.3504
2024-12-27,erc1155,20,21814,2691,24505,619080,0.03958293,3.9583,-0.96041707,-96.0417
2024-12-27,erc1155,22,13274,5785,19059,641539,0.02970825,2.9708,-0.97029175,-97.0292
2024-12-27,erc1155,23,3108,4446,7554,741286,0.01019040,1.0190,-0.98980960,-98.9810
2024-12-27,erc1155,25,4761,92414,97175,1213275,0.08009314,8.0093,-0.91990686,-91.9907
2024-12-27,erc1155,3,170,170,340,165356,0.00205617,0.2056,-0.99794383,-99.7944
2024-12-27,erc1155,4,2088,2088,4176,238409,0.01751612,1.7516,-0.98248388,-98.2484
2024-12-27,erc1155,5,37,37,74,38010,0.00194686,0.1947,-0.99805314,-99.8053
2024-12-27,erc1155,6,1341,1341,2682,445200,0.00602426,0.6024,-0.99397574,-99.3976
2024-12-27,erc1155,7,82,81,163,33663,0.00484211,0.4842,-0.99515789,-99.5158
2024-12-27,erc1155,8,38,38,76,26775,0.00283847,0.2838,-0.99716153,-99.7162
2024-12-27,erc1155,9,1558,1385,2943,308553,0.00953807,0.9538,-0.99046193,-99.0462
2024-12-28,erc1155,10,42,42,84,33075,0.00253968,0.2540,-0.99746032,-99.7460
2024-12-28,erc1155,11,1471,1471,2942,692451,0.00424868,0.4249,-0.99575132,-99.5751
2024-12-28,erc1155,12,2303,2303,4606,444140,0.01037060,1.0371,-0.98962940,-98.9629
2024-12-28,erc1155,13,552,552,1104,648943,0.00170123,0.1701,-0.99829877,-99.8299
2024-12-28,erc1155,14,87,87,174,31500,0.00552381,0.5524,-0.99447619,-99.4476
2024-12-28,erc1155,16,12499,12499,24998,626260,0.03991633,3.9916,-0.96008367,-96.0084
2024-12-28,erc1155,17,7747,1329,9076,522584,0.01736754,1.7368,-0.98263246,-98.2632
2024-12-28,erc1155,18,13940,7299,21239,706912,0.03004476,3.0045,-0.96995524,-96.9955
2024-12-28,erc1155,19,219,219,438,445200,0.00098383,0.0984,-0.99901617,-99.9016
2024-12-28,erc1155,20,3301,12852,16153,619080,0.02609194,2.6092,-0.97390806,-97.3908
2024-12-28,erc1155,22,3337,10996,14333,641539,0.02234159,2.2342,-0.97765841,-97.7658
2024-12-28,erc1155,23,4786,4786,9572,741286,0.01291269,1.2913,-0.98708731,-98.7087
2024-12-28,erc1155,25,11501,31620,43121,1213275,0.03554099,3.5541,-0.96445901,-96.4459
2024-12-28,erc1155,3,125,125,250,165356,0.00151189,0.1512,-0.99848811,-99.8488
2024-12-28,erc1155,4,86,86,172,238409,0.00072145,0.0721,-0.99927855,-99.9279
2024-12-28,erc1155,5,148,146,294,38010,0.00773481,0.7735,-0.99226519,-99.2265
2024-12-28,erc1155,6,415,415,830,445200,0.00186433,0.1864,-0.99813567,-99.8136
2024-12-28,erc1155,7,122,124,246,33663,0.00730773,0.7308,-0.99269227,-99.2692
2024-12-28,erc1155,8,36,36,72,26775,0.00268908,0.2689,-0.99731092,-99.7311
2024-12-28,erc1155,9,437,620,1057,308553,0.00342567,0.3426,-0.99657433,-99.6574
2024-12-29,erc1155,10,89,89,178,33075,0.00538171,0.5382,-0.99461829,-99.4618
