period,token_standard,token_id,total_sell,total_buy,total_volume,total_supply,turnover_rate,turnover_rate_percent,adjusted_turnover_rate,adjusted_turnover_rate_percent
2025-08,erc1155,29,230202,1080994,1311196,1432200,0.91551180,91.5512,-0.08448820,-8.4488
2025-08,erc1155,3,39920,37583,77503,165356,0.46870389,46.8704,-0.53129611,-53.1296
2025-08,erc1155,4,36189,34409,70598,238409,0.29612137,29.6121,-0.70387863,-70.3879
2025-08,erc1155,5,1554,1554,3108,38010,0.08176796,8.1768,-0.91823204,-91.8232
2025-08,erc1155,6,140264,139324,279588,445200,0.62800539,62.8005,-0.37199461,-37.1995
2025-08,erc1155,7,2136,2136,4272,33663,0.12690491,12.6905,-0.87309509,-87.3095
2025-08,erc1155,8,790,790,1580,26775,0.05901027,5.9010,-0.94098973,-94.0990
2025-08,erc1155,9,44967,37484,82451,308553,0.26721827,26.7218,-0.73278173,-73.2782
2025-09,erc1155,10,4232,4232,8464,33075,0.25590325,25.5903,-0.74409675,-74.4097
2025-09,erc1155,11,20628,20628,41256,692451,0.05957967,5.9580,-0.94042033,-94.0420
2025-09,erc1155,12,37233,82661,119894,444140,0.26994641,26.9946,-0.73005359,-73.0054
2025-09,erc1155,13,56911,55789,112700,648943,0.17366702,17.3667,-0.82633298,-82.6333
2025-09,erc1155,14,2541,2541,5082,31500,0.16133333,16.1333,-0.83866667,-83.8667
2025-09,erc1155,16,28908,28908,57816,626260,0.09231948,9.2319,-0.90768052,-90.7681
2025-09,erc1155,17,40064,90784,130848,522584,0.25038654,25.0387,-0.74961346,-74.9613
2025-09,erc1155,18,115271,199651,314922,706912,0.44548968,44.5490,-0.55451032,-55.4510
2025-09,erc1155,19,24869,52977,77846,445200,0.17485624,17.4856,-0.82514376,-82.5144
2025-09,erc1155,20,66507,67453,133960,619080,0.21638560,21.6386,-0.78361440,-78.3614
2025-09,erc1155,22,75792,82934,158726,641539,0.24741442,24.7414,-0.75258558,-75.2586
2025-09,erc1155,23,86481,161993,248474,741286,0.33519316,33.5193,-0.66480684,-66.4807
2025-09,erc1155,24,10476,10476,20952,32550,0.64368664,64.3687,-0.35631336,-35.6313
2025-09,erc1155,25,369693,448609,818302,1213275,0.67445715,67.4457,-0.32554285,-32.5543
2025-09,erc1155,27,375348,369592,744940,1435061,0.51909988,51.9100,-0.48090012,-48.0900
2025-09,erc1155,28,6556,6556,13112,29400,0.44598639,44.5986,-0.55401361,-55.4014
2025-09,erc1155,29,215593,265009,480602,1432200,0.33556905,33.5569,-0.66443095,-66.4431
2025-09,erc1155,3,18661,31826,50487,165356,0.30532306,30.5323,-0.69467694,-69.4677
2025-09,erc1155,4,44083,46241,90324,238409,0.37886154,37.8862,-0.62113846,-62.1138
2025-09,erc1155,5,2181,2139,4320,38010,0.11365430,11.3654,-0.88634570,-88.6346
2025-09,erc1155,6,31919,32859,64778,445200,0.14550314,14.5503,-0.85449686,-85.4497
2025-09,erc1155,7,2966,2966,5932,33663,0.17621721,17.6217,-0.82378279,-82.3783
2025-09,erc1155,8,954,954,1908,26775,0.07126050,7.1261,-0.92873950,-92.8739
2025-09,erc1155,9,41387,44638,86025,308553,0.27880137,27.8801,-0.72119863,-72.1199
2025-10,erc1155,10,2715,2715,5430,33075,0.16417234,16.4172,-0.83582766,-83.5828
2025-10,erc1155,11,20134,20134,40268,692451,0.05815285,5.8153,-0.94184715,-94.1847
2025-10,erc1155,12,58599,60446,119045,444140,0.26803485,26.8035,-0.73196515,-73.1965
2025-10,erc1155,13,23815,24937,48752,648943,0.07512524,7.5125,-0.92487476,-92.4875
2025-10,erc1155,14,1856,1856,3712,31500,0.11784127,11.7841,-0.88215873,-88.2159
2025-10,erc1155,16,39793,39793,79586,626260,0.12708140,12.7081,-0.87291860,-87.2919
2025-10,erc1155,17,71405,84885,156290,522584,0.29907154,29.9072,-0.70092846,-70.0928
2025-10,erc1155,18,160010,160418,320428,706912,0.45327848,45.3278,-0.54672152,-54.6722
2025-10,erc1155,19,31783,33201,64984,445200,0.14596586,14.5966,-0.85403414,-85.4034
2025-10,erc1155,20,66126,70880,137006,619080,0.22130581,22.1306,-0.77869419,-77.8694
2025-10,erc1155,22,58936,59553,118489,641539,0.18469493,18.4695,-0.81530507,-81.5305
2025-10,erc1155,23,92753,92765,185518,741286,0.25026508,25.0265,-0.74973492,-74.9735
2025-10,erc1155,24,3648,3648,7296,32550,0.22414747,22.4147,-0.77585253,-77.5853
2025-10,erc1155,25,243240,247951,491191,1213275,0.40484721,40.4847,-0.59515279,-59.5153
2025-10,erc1155,27,340211,345967,686178,1435061,0.47815250,47.8152,-0.52184750,-52.1848
2025-10,erc1155,28,1867,1867,3734,29400,0.12700680,12.7007,-0.87299320,-87.2993
2025-10,erc1155,29,284908,285292,570200,1432200,0.39812875,39.8129,-0.60187125,-60.1871
2025-10,erc1155,3,21431,21489,42920,165356,0.25956119,25.9561,-0.74043881,-74.0439
2025-10,erc1155,30,16872,47847,64719,30975,2.08939467,208.9395,1.08939467,108.9395
2025-10,erc1155,31,1977,31377,33354,29400,1.13448980,113.4490,0.13448980,13.4490
2025-10,erc1155,4,25346,25346,50692,238409,0.21262620,21.2626,-0.78737380,-78.7374
2025-10,erc1155,5,1231,1273,2504,38010,0.06587740,6.5877,-0.93412260,-93.4123
2025-10,erc1155,6,28360,28360,56720,445200,0.12740341,12.7403,-0.87259659,-87.2597
2025-10,erc1155,7,2004,2004,4008,33663,0.11906247,11.9062,-0.88093753,-88.0938
2025-10,erc1155,8,1481,1481,2962,26775,0.11062558,11.0626,-0.88937442,-88.9374
2025-10,erc1155,9,35882,40407,76289,308553,0.24724764,24.7248,-0.75275236,-75.2752
2025-11,erc1155,10,1781,1781,3562,33075,0.10769463,10.7695,-0.89230537,-89.2305
2025-11,erc1155,11,17372,17372,34744,692451,0.05017539,5.0175,-0.94982461,-94.9825
2025-11,erc1155,12,58738,58754,117492,444140,0.26453821,26.4538,-0.73546179,-73.5462
2025-11,erc1155,13,52099,52099,104198,648943,0.16056572,16.0566,-0.83943428,-83.9434
2025-11,erc1155,14,930,930,1860,31500,0.05904762,5.9048,-0.94095238,-94.0952
2025-11,erc1155,16,55660,55660,111320,626260,0.17775365,17.7754,-0.82224635,-82.2246
2025-11,erc1155,17,86592,87931,174523,522584,0.33396162,33.3962,-0.66603838,-66.6038
2025-11,erc1155,18,83752,85927,169679,706912,0.24002846,24.0028,-0.75997154,-75.9972
2025-11,erc1155,19,24328,24328,48656,445200,0.10929021,10.9290,-0.89070979,-89.0710
2025-11,erc1155,20,75175,75175,150350,619080,0.24286037,24.2860,-0.75713963,-75.7140
2025-11,erc1155,22,65672,65672,131344,641539,0.20473268,20.4733,-0.79526732,-79.5267
2025-11,erc1155,23,82492,85171,167663,741286,0.22617856,22.6179,-0.77382144,-77.3821
2025-11,erc1155,24,2583,2583,5166,32550,0.15870968,15.8710,-0.84129032,-84.1290
2025-11,erc1155,25,201474,204877,406351,1213275,0.33492077,33.4921,-0.66507923,-66.5079
2025-11,erc1155,27,301023,301003,602026,1435061,0.41951248,41.9512,-0.58048752,-58.0488
2025-11,erc1155,28,1260,1260,2520,29400,0.08571429,8.5714,-0.91428571,-91.4286
2025-11,erc1155,29,153428,153428,306856,1432200,0.21425499,21.4255,-0.78574501,-78.5745
2025-11,erc1155,3,23418,23418,46836,165356,0.28324343,28.3243,-0.71675657,-71.6757
2025-11,erc1155,30,7021,7021,14042,30975,0.45333333,45.3333,-0.54666667,-54.6667
2025-11,erc1155,31,5063,5063,10126,29400,0.34442177,34.4422,-0.65557823,-65.5578
2025-11,erc1155,32,12967,312844,325811,1474515,0.22096147,22.0961,-0.77903853,-77.9039
2025-11,erc1155,4,48883,48883,97766,238409,0.41007680,41.0077,-0.58992320,-58.9923
2025-11,erc1155,5,847,847,1694,38010,0.04456722,4.4567,-0.95543278,-95.5433
2025-11,erc1155,6,104066,104066,208132,445200,0.46750225,46.7502,-0.53249775,-53.2498
2025-11,erc1155,7,1206,1206,2412,33663,0.07165137,7.1651,-0.92834863,-92.8349
2025-11,erc1155,8,984,984,1968,26775,0.07350140,7.3501,-0.92649860,-92.6499
2025-11,erc1155,9,78521,76459,154980,308553,0.50228000,50.2280,-0.49772000,-49.7720
2025-12,erc1155,10,1872,1872,3744,33075,0.11319728,11.3197,-0.88680272,-88.6803
2025-12,erc1155,11,77545,77545,155090,692451,0.22397253,22.3973,-0.77602747,-77.6027
