block_date,token_standard,token_id,sell_volume,buy_volume,gross_volume,net_buy_pressure,total_supply,gross_daily_turnover_rate,data_source,primary_secondary_treatment,sample_window
2025-03-04,erc1155,18,3125,3125,6250,0,706912,0.00884127,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-05,erc1155,18,6869,6869,13738,0,706912,0.01943382,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-06,erc1155,18,618,618,1236,0,706912,0.00174845,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-07,erc1155,18,3575,3575,7150,0,706912,0.01011441,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-08,erc1155,18,1078,1078,2156,0,706912,0.00304988,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-09,erc1155,18,198,198,396,0,706912,0.00056018,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-10,erc1155,18,5148,5148,10296,0,706912,0.01456475,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-11,erc1155,18,5775,5379,11154,-396,706912,0.01577848,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-12,erc1155,18,920,1316,2236,396,706912,0.00316305,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-13,erc1155,18,1096,1096,2192,0,706912,0.00310081,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-14,erc1155,18,657,657,1314,0,706912,0.00185879,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-15,erc1155,18,10847,10835,21682,-12,706912,0.03067143,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
